chr	start	end	hg19_loc	species	liftOver_input
chr17	11223864	11223866	chr17:44172772-44172774	panTro4	chr17:11223864-11223866
chr17	10444979	10444981	chr17:44179991-44179993	panTro4	chr17:10444979-10444981
chr17	11216903	11216905	chr17:44179991-44179993	panTro4	chr17:11216903-11216905
chr17	10442767	10442769	chr17:44182180-44182182	panTro4	chr17:10442767-10442769
chr17	11214731	11214733	chr17:44182180-44182182	panTro4	chr17:11214731-11214733
chr17	10440099	10440101	chr17:44282006-44282008	panTro4	chr17:10440099-10440101
chr17	11113646	11113648	chr17:44282006-44282008	panTro4	chr17:11113646-11113648
chr17	11092112	11092114	chr17:44302880-44302882	panTro4	chr17:11092112-11092114
chr17	11716514	11716516	chr17:44302880-44302882	panTro4	chr17:11716514-11716516
chr17	10430134	10430136	chr17:44316448-44316450	panTro4	chr17:10430134-10430136
chr17	11729513	11729515	chr17:44316448-44316450	panTro4	chr17:11729513-11729515
chr17	11786677	11786679	chr17:44316448-44316450	panTro4	chr17:11786677-11786679
chr17	11748107	11748109	chr17:44335751-44335753	panTro4	chr17:11748107-11748109
chr17	11806836	11806838	chr17:44335751-44335753	panTro4	chr17:11806836-11806838
chr17	11755627	11755629	chr17:44343281-44343283	panTro4	chr17:11755627-11755629
chr17_AACZ03174535_random	876	878	chr17:44343281-44343283	panTro4	chr17_AACZ03174535_random:876-878
chr17_GL392694_random	6567	6569	chr17:44343281-44343283	panTro4	chr17_GL392694_random:6567-6569
chr17	11759005	11759007	chr17:44346673-44346675	panTro4	chr17:11759005-11759007
chr17_GL392694_random	9944	9946	chr17:44346673-44346675	panTro4	chr17_GL392694_random:9944-9946
chr17_GL392694_random	14568	14570	chr17:44351284-44351286	panTro4	chr17_GL392694_random:14568-14570
chr17_GL392695_random	2713	2715	chr17:44351284-44351286	panTro4	chr17_GL392695_random:2713-2715
chr17_GL392694_random	16687	16689	chr17:44353413-44353415	panTro4	chr17_GL392694_random:16687-16689
chr17_GL392695_random	4843	4845	chr17:44353413-44353415	panTro4	chr17_GL392695_random:4843-4845
chr17	26438941	26438943	chr19:14392306-14392308	panTro4	chr17:26438941-26438943
chr19	14572834	14572836	chr19:14392306-14392308	panTro4	chr19:14572834-14572836
chr20	23463006	23463008	chr20:23313889-23313891	panTro4	chr20:23463006-23463008
chr20_GL393017_random	121	123	chr20:23313889-23313891	panTro4	chr20_GL393017_random:121-123
chr7	123073111	123073113	chr21:33660596-33660598	panTro4	chr7:123073111-123073113
chr21	18396308	18396310	chr21:33660596-33660598	panTro4	chr21:18396308-18396310
chr13	27899197	27899199	chr3:46180415-46180417	panTro4	chr13:27899197-27899199
chr3	46841314	46841316	chr3:46180415-46180417	panTro4	chr3:46841314-46841316
chr6	43565591	43565593	chr3:101398918-101398920	panTro4	chr6:43565591-43565593
chr3	104851470	104851472	chr3:101398918-101398920	panTro4	chr3:104851470-104851472
chr3	104950720	104950722	chr3:101496304-101496306	panTro4	chr3:104950720-104950722
chr3	104952690	104952692	chr3:101496304-101496306	panTro4	chr3:104952690-104952692
chrX	26351770	26351772	chr5:54086897-54086899	panTro4	chrX:26351770-26351772
chr5	60709150	60709152	chr5:54086897-54086899	panTro4	chr5:60709150-60709152
chr5_AACZ03158287_random	126	128	chr5:127816861-127816863	panTro4	chr5_AACZ03158287_random:126-128
chr5	129120741	129120743	chr5:127816861-127816863	panTro4	chr5:129120741-129120743
chr9	109354094	109354096	chr9:113187048-113187050	panTro4	chr9:109354094-109354096
chr9	109355046	109355048	chr9:113187048-113187050	panTro4	chr9:109355046-109355048
chr1	226851413	226851414	chr1:3744125-3744127	ponAbe2	chr1:226851413-226851414
chr1_random	28484428	28484430	chr1:3744125-3744127	ponAbe2	chr1_random:28484428-28484430
chr1	226851411	226851412	chr1:3744125-3744127	ponAbe2	chr1:226851411-226851412
chr1	21374752	21374754	chr1:228413615-228413617	ponAbe2	chr1:21374752-21374754
chr1_random	26289603	26289605	chr1:228413615-228413617	ponAbe2	chr1_random:26289603-26289605
chr1	12275156	12275158	chr1:237307327-237307329	ponAbe2	chr1:12275156-12275158
chr1_random	12301304	12301306	chr1:237307327-237307329	ponAbe2	chr1_random:12301304-12301306
chr11	84751086	84751088	chr11:88591888-88591890	ponAbe2	chr11:84751086-84751088
chr11_random	4804538	4804540	chr11:88591888-88591890	ponAbe2	chr11_random:4804538-4804540
chr12	114875336	114875338	chr12:113369714-113369716	ponAbe2	chr12:114875336-114875338
chr12_random	2182144	2182146	chr12:113369714-113369716	ponAbe2	chr12_random:2182144-2182146
chr12	114892473	114892475	chr12:113384999-113385001	ponAbe2	chr12:114892473-114892475
chr12_random	8318925	8318927	chr12:113384999-113385001	ponAbe2	chr12_random:8318925-8318927
chr13	46303469	46303471	chr13:46865282-46865284	ponAbe2	chr13:46303469-46303471
chr13_random	1149431	1149433	chr13:46865282-46865284	ponAbe2	chr13_random:1149431-1149433
chr15	88653111	88653113	chr15:92449425-92449427	ponAbe2	chr15:88653111-88653113
chr15	88657852	88657854	chr15:92449425-92449427	ponAbe2	chr15:88657852-88657854
chr17	43227644	43227646	chr17:43753641-43753643	ponAbe2	chr17:43227644-43227646
chr17_random	5954826	5954828	chr17:43753641-43753643	ponAbe2	chr17_random:5954826-5954828
chr17	43272921	43272923	chr17:43801592-43801594	ponAbe2	chr17:43272921-43272923
chr17_random	7051364	7051366	chr17:43801592-43801594	ponAbe2	chr17_random:7051364-7051366
chr17	43283933	43283935	chr17:43813001-43813003	ponAbe2	chr17:43283933-43283935
chr17	43285681	43285683	chr17:43813001-43813003	ponAbe2	chr17:43285681-43285683
chr17	43303564	43303566	chr17:43830937-43830939	ponAbe2	chr17:43303564-43303566
chr17_random	6174818	6174820	chr17:43830937-43830939	ponAbe2	chr17_random:6174818-6174820
chr17	43326821	43326823	chr17:43852732-43852734	ponAbe2	chr17:43326821-43326823
chr17_random	2811430	2811432	chr17:43852732-43852734	ponAbe2	chr17_random:2811430-2811432
chr17	43440914	43440916	chr17:43966281-43966283	ponAbe2	chr17:43440914-43440916
chr17	43442503	43442505	chr17:43966281-43966283	ponAbe2	chr17:43442503-43442505
chr17	43496059	43496061	chr17:44016461-44016463	ponAbe2	chr17:43496059-43496061
chr17_random	8559196	8559198	chr17:44016461-44016463	ponAbe2	chr17_random:8559196-8559198
chr17	43499035	43499037	chr17:44019478-44019480	ponAbe2	chr17:43499035-43499037
chr17_random	8561434	8561436	chr17:44019478-44019480	ponAbe2	chr17_random:8561434-8561436
chr17	43504619	43504621	chr17:44025032-44025034	ponAbe2	chr17:43504619-43504621
chr17	43511548	43511550	chr17:44025032-44025034	ponAbe2	chr17:43511548-43511550
chr17	43506073	43506075	chr17:44026489-44026491	ponAbe2	chr17:43506073-43506075
chr17	43513441	43513443	chr17:44026489-44026491	ponAbe2	chr17:43513441-43513443
chr17	43507867	43507869	chr17:44028044-44028046	ponAbe2	chr17:43507867-43507869
chr17	43515003	43515005	chr17:44028044-44028046	ponAbe2	chr17:43515003-43515005
chr17	43608922	43608924	chr17:44122625-44122627	ponAbe2	chr17:43608922-43608924
chr17_random	6793520	6793522	chr17:44122625-44122627	ponAbe2	chr17_random:6793520-6793522
chr17	43653833	43653835	chr17:44165802-44165804	ponAbe2	chr17:43653833-43653835
chr17_random	14964410	14964412	chr17:44165802-44165804	ponAbe2	chr17_random:14964410-14964412
chr17	43656597	43656599	chr17:44168507-44168509	ponAbe2	chr17:43656597-43656599
chr17_random	14967899	14967901	chr17:44168507-44168509	ponAbe2	chr17_random:14967899-14967901
chr17	43658333	43658335	chr17:44170237-44170239	ponAbe2	chr17:43658333-43658335
chr17_random	14969564	14969566	chr17:44170237-44170239	ponAbe2	chr17_random:14969564-14969566
chr17	43661091	43661093	chr17:44172772-44172774	ponAbe2	chr17:43661091-43661093
chr17_random	14972067	14972069	chr17:44172772-44172774	ponAbe2	chr17_random:14972067-14972069
chr17	43668286	43668288	chr17:44179991-44179993	ponAbe2	chr17:43668286-43668288
chr17_random	14977243	14977245	chr17:44179991-44179993	ponAbe2	chr17_random:14977243-14977245
chr17	43709980	43709982	chr17:44221041-44221043	ponAbe2	chr17:43709980-43709982
chr17	43710291	43710293	chr17:44221041-44221043	ponAbe2	chr17:43710291-43710293
chr17	43771188	43771190	chr17:44282006-44282008	ponAbe2	chr17:43771188-43771190
chr17_random	14982133	14982135	chr17:44282006-44282008	ponAbe2	chr17_random:14982133-14982135
chr17	43774655	43774657	chr17:44286088-44286090	ponAbe2	chr17:43774655-43774657
chr17_random	14990352	14990354	chr17:44286088-44286090	ponAbe2	chr17_random:14990352-14990354
chr12	57263566	57263568	chr17:44292318-44292320	ponAbe2	chr12:57263566-57263568
chr17	43777802	43777804	chr17:44292318-44292320	ponAbe2	chr17:43777802-43777804
chr17	43785922	43785924	chr17:44302880-44302882	ponAbe2	chr17:43785922-43785924
chr17_random	14990906	14990908	chr17:44302880-44302882	ponAbe2	chr17_random:14990906-14990908
chr17	43834105	43834107	chr17:44351284-44351286	ponAbe2	chr17:43834105-43834107
chr17	57699923	57699925	chr17:44351284-44351286	ponAbe2	chr17:57699923-57699925
chr17	61604874	61604876	chr17:44351284-44351286	ponAbe2	chr17:61604874-61604876
chr19	51881164	51881166	chr19:50851758-50851760	ponAbe2	chr19:51881164-51881166
chr19_random	4772677	4772679	chr19:50851758-50851760	ponAbe2	chr19_random:4772677-4772679
chr19	51884834	51884836	chr19:50855791-50855793	ponAbe2	chr19:51884834-51884836
chr19_random	4776922	4776924	chr19:50855791-50855793	ponAbe2	chr19_random:4776922-4776924
chr2b	8396313	8396315	chr2:126511557-126511559	ponAbe2	chr2b:8396313-8396315
chr2b_random	5485849	5485851	chr2:126511557-126511559	ponAbe2	chr2b_random:5485849-5485851
chr2b	55908973	55908975	chr2:166910676-166910678	ponAbe2	chr2b:55908973-55908975
chr2b_random	12192807	12192809	chr2:166910676-166910678	ponAbe2	chr2b_random:12192807-12192809
chr2b	132913172	132913174	chr2:241128221-241128223	ponAbe2	chr2b:132913172-132913174
chr2b	132916085	132916087	chr2:241128221-241128223	ponAbe2	chr2b:132916085-132916087
chr21	33221296	33221298	chr21:33660596-33660598	ponAbe2	chr21:33221296-33221298
chr7	118394142	118394144	chr21:33660596-33660598	ponAbe2	chr7:118394142-118394144
chr3	100678715	100678716	chr3:45930795-45930797	ponAbe2	chr3:100678715-100678716
chr3	100678704	100678705	chr3:45930795-45930797	ponAbe2	chr3:100678704-100678705
chr3	100469941	100469943	chr3:46128712-46128714	ponAbe2	chr3:100469941-100469943
chr3_random	7775884	7775886	chr3:46128712-46128714	ponAbe2	chr3_random:7775884-7775886
chr3	76082157	76082159	chr3:69652765-69652767	ponAbe2	chr3:76082157-76082159
chr3	76087657	76087659	chr3:69652765-69652767	ponAbe2	chr3:76087657-76087659
chr3	201470485	201470487	chr3:197144808-197144810	ponAbe2	chr3:201470485-201470487
chr3	201472377	201472379	chr3:197144808-197144810	ponAbe2	chr3:201472377-201472379
chr7	74876178	74876180	chr7:10140767-10140769	ponAbe2	chr7:74876178-74876180
chr7_random	2934133	2934135	chr7:10140767-10140769	ponAbe2	chr7_random:2934133-2934135
chr8	26698441	26698443	chr8:26731441-26731443	ponAbe2	chr8:26698441-26698443
chr8_random	14660997	14660999	chr8:26731441-26731443	ponAbe2	chr8_random:14660997-14660999
chr8	64509435	64509437	chr8:63355464-63355466	ponAbe2	chr8:64509435-64509437
chr8_random	3859660	3859662	chr8:63355464-63355466	ponAbe2	chr8_random:3859660-3859662
chr3	12164300	12164302	chr9:136154866-136154868	ponAbe2	chr3:12164300-12164302
chr9	130222253	130222255	chr9:136154866-136154868	ponAbe2	chr9:130222253-130222255
chr9	130144702	130144704	chr9:136184797-136184799	ponAbe2	chr9:130144702-130144704
chr9	130168687	130168689	chr9:136184797-136184799	ponAbe2	chr9:130168687-130168689
chr9	130254844	130254846	chr9:136184797-136184799	ponAbe2	chr9:130254844-130254846
chr9	132504234	132504236	chr9:136184797-136184799	ponAbe2	chr9:132504234-132504236
chr9_random	6652759	6652761	chr9:136184797-136184799	ponAbe2	chr9_random:6652759-6652761
chrUn_JH296025	111	113	chr12:113357236-113357238	rheMac3	chrUn_JH296025:111-113
chr11	114719633	114719635	chr12:113357236-113357238	rheMac3	chr11:114719633-114719635
chrUn_JH296204	150	152	chr12:113362996-113362998	rheMac3	chrUn_JH296204:150-152
chrUn_JH296213	150	152	chr12:113362996-113362998	rheMac3	chrUn_JH296213:150-152
chr11	114725175	114725177	chr12:113362996-113362998	rheMac3	chr11:114725175-114725177
chr16	58399948	58399950	chr17:43858186-43858188	rheMac3	chr16:58399948-58399950
chr16	58400245	58400247	chr17:43858186-43858188	rheMac3	chr16:58400245-58400247
chr16	52963280	52963282	chr17:43934115-43934117	rheMac3	chr16:52963280-52963282
chr16	58476701	58476703	chr17:43934115-43934117	rheMac3	chr16:58476701-58476703
chr16	58513105	58513107	chr17:43978294-43978296	rheMac3	chr16:58513105-58513107
chrX	63671653	63671655	chr17:43978294-43978296	rheMac3	chrX:63671653-63671655
chr16	56219397	56219399	chr17:44025032-44025034	rheMac3	chr16:56219397-56219399
chr16	58561009	58561011	chr17:44025032-44025034	rheMac3	chr16:58561009-58561011
chrUn_JH292740	4022	4024	chr17:44025032-44025034	rheMac3	chrUn_JH292740:4022-4024
chr16	58608028	58608030	chr17:44073738-44073740	rheMac3	chr16:58608028-58608030
chr4	57261332	57261334	chr17:44073738-44073740	rheMac3	chr4:57261332-57261334
chr16	58661460	58661461	chr17:44128875-44128877	rheMac3	chr16:58661460-58661461
chr16	58661463	58661464	chr17:44128875-44128877	rheMac3	chr16:58661463-58661464
chr16	58685960	58685962	chr17:44153625-44153627	rheMac3	chr16:58685960-58685962
chr16	58686345	58686347	chr17:44153625-44153627	rheMac3	chr16:58686345-58686347
chr16	58713807	58713809	chr17:44179991-44179993	rheMac3	chr16:58713807-58713809
chr18	24813512	24813514	chr17:44179991-44179993	rheMac3	chr18:24813512-24813514
chr16	57647882	57647884	chr17:44302880-44302882	rheMac3	chr16:57647882-57647884
chr16	58838857	58838859	chr17:44302880-44302882	rheMac3	chr16:58838857-58838859
chr16	58882992	58882994	chr17:44343281-44343283	rheMac3	chr16:58882992-58882994
chr16	65427084	65427086	chr17:44343281-44343283	rheMac3	chr16:65427084-65427086
chr16	57648906	57648908	chr17:44351284-44351286	rheMac3	chr16:57648906-57648908
chr16	65412151	65412153	chr17:44351284-44351286	rheMac3	chr16:65412151-65412153
chr2	91993324	91993325	chr3:45930795-45930797	rheMac3	chr2:91993324-91993325
chr2	91993319	91993320	chr3:45930795-45930797	rheMac3	chr2:91993319-91993320
chr17	8040955	8040957	chr3:46180415-46180417	rheMac3	chr17:8040955-8040957
chr2	91740102	91740104	chr3:46180415-46180417	rheMac3	chr2:91740102-91740104
chr11	66704000	66704002	chr3:46377004-46377006	rheMac3	chr11:66704000-66704002
chr12	29935780	29935782	chr3:46377004-46377006	rheMac3	chr12:29935780-29935782
chr12	72042198	72042200	chr3:46377004-46377006	rheMac3	chr12:72042198-72042200
chr2	91542069	91542071	chr3:46377004-46377006	rheMac3	chr2:91542069-91542071
chr3	83034881	83034883	chr3:46377004-46377006	rheMac3	chr3:83034881-83034883
chrX	73838832	73838834	chr3:46377004-46377006	rheMac3	chrX:73838832-73838834
chr2	21720954	21720956	chr3:101274910-101274912	rheMac3	chr2:21720954-21720956
chr7	93751006	93751008	chr3:101274910-101274912	rheMac3	chr7:93751006-93751008
chr2	21819055	21819057	chr3:101392269-101392271	rheMac3	chr2:21819055-21819057
chr4	70714375	70714377	chr3:101392269-101392271	rheMac3	chr4:70714375-70714377
chr5	115752216	115752218	chr4:122913110-122913112	rheMac3	chr5:115752216-115752218
chr5	115760200	115760202	chr4:122913110-122913112	rheMac3	chr5:115760200-115760202
chrUn_JH323122	155	157	chr4:122913110-122913112	rheMac3	chrUn_JH323122:155-157
chr4	166461548	166461550	chr6:167624409-167624411	rheMac3	chr4:166461548-166461550
chr4	166589512	166589514	chr6:167624409-167624411	rheMac3	chr4:166589512-166589514
chr1	49074934	49074936	chr9:136154866-136154868	rheMac3	chr1:49074934-49074936
chr1	55509940	55509942	chr9:136154866-136154868	rheMac3	chr1:55509940-55509942
chr11	128699865	128699867	chr9:136154866-136154868	rheMac3	chr11:128699865-128699867
chr14	67692963	67692965	chr9:136154866-136154868	rheMac3	chr14:67692963-67692965
chr2	40605648	40605650	chr9:136154866-136154868	rheMac3	chr2:40605648-40605650
chr2	89550166	89550168	chr9:136154866-136154868	rheMac3	chr2:89550166-89550168
chr2	89553036	89553038	chr9:136154866-136154868	rheMac3	chr2:89553036-89553038
chr2	131510557	131510559	chr9:136154866-136154868	rheMac3	chr2:131510557-131510559
chr20	70580872	70580874	chr9:136154866-136154868	rheMac3	chr20:70580872-70580874
chr3	103159444	103159446	chr9:136154866-136154868	rheMac3	chr3:103159444-103159446
chr3	160511400	160511402	chr9:136154866-136154868	rheMac3	chr3:160511400-160511402
chr4	82920251	82920253	chr9:136154866-136154868	rheMac3	chr4:82920251-82920253
chrX	123319685	123319687	chr9:136154866-136154868	rheMac3	chrX:123319685-123319687
chrUn_JH290454	278617	278619	chr9:136154866-136154868	rheMac3	chrUn_JH290454:278617-278619
chr15	2783108	2783110	chr9:136184797-136184799	rheMac3	chr15:2783108-2783110
chr15	5258017	5258019	chr9:136184797-136184799	rheMac3	chr15:5258017-5258019
3	94697398	94697400	chr1:151341569-151341571	C57B6J	3:94697398-94697400
3	94937301	94937303	chr1:151341569-151341571	C57B6J	3:94937301-94937303
15	38577810	38577812	chr12:113357441-113357443	C57B6J	15:38577810-38577812
5	120786831	120786833	chr12:113357441-113357443	C57B6J	5:120786831-120786833
5	120800956	120800958	chr12:113357441-113357443	C57B6J	5:120800956-120800958
5	120823721	120823723	chr12:113357441-113357443	C57B6J	5:120823721-120823723
5	120857704	120857706	chr12:113357441-113357443	C57B6J	5:120857704-120857706
5	120873021	120873023	chr12:113357441-113357443	C57B6J	5:120873021-120873023
5	120921141	120921143	chr12:113357441-113357443	C57B6J	5:120921141-120921143
5	120926563	120926565	chr12:113357441-113357443	C57B6J	5:120926563-120926565
6	18295309	18295311	chr12:113357441-113357443	C57B6J	6:18295309-18295311
1	63267658	63267660	chr14:28735075-28735077	C57B6J	1:63267658-63267660
14	44266249	44266251	chr14:28735075-28735077	C57B6J	14:44266249-44266251
14	44597872	44597874	chr14:28735075-28735077	C57B6J	14:44597872-44597874
3	144729096	144729098	chr14:28735075-28735077	C57B6J	3:144729096-144729098
7	138891237	138891239	chr14:28735075-28735077	C57B6J	7:138891237-138891239
11	104115757	104115758	chr17:43846667-43846669	C57B6J	11:104115757-104115758
11	104116137	104116138	chr17:43846667-43846669	C57B6J	11:104116137-104116138
11	104172689	104172690	chr17:43910261-43910263	C57B6J	11:104172689-104172690
11	104172691	104172692	chr17:43910261-43910263	C57B6J	11:104172691-104172692
11	104237980	104237981	chr17:43978305-43978307	C57B6J	11:104237980-104237981
11	104237985	104237986	chr17:43978305-43978307	C57B6J	11:104237985-104237986
11	104319596	104319597	chr17:44089562-44089564	C57B6J	11:104319596-104319597
11	104319598	104319599	chr17:44089562-44089564	C57B6J	11:104319598-104319599
1	112576270	112576272	chr2:126512185-126512187	C57B6J	1:112576270-112576272
1	117319010	117319012	chr2:126512185-126512187	C57B6J	1:117319010-117319012
9	123823531	123823532	chr3:46001226-46001228	C57B6J	9:123823531-123823532
9	123823533	123823534	chr3:46001226-46001228	C57B6J	9:123823533-123823534
9	123965789	123965791	chr3:46247095-46247097	C57B6J	9:123965789-123965791
9	123979763	123979765	chr3:46247095-46247097	C57B6J	9:123979763-123979765
9	111064644	111064646	chr3:46436955-46436957	C57B6J	9:111064644-111064646
9	124141956	124141958	chr3:46436955-46436957	C57B6J	9:124141956-124141958
2	214903301	214903303	chr1:151341569-151341571	Rattus	2:214903301-214903303
2	215591692	215591694	chr1:151341569-151341571	Rattus	2:215591692-215591694
7	20340075	20340077	chr11:129894919-129894921	Rattus	7:20340075-20340077
7	20343142	20343144	chr11:129894919-129894921	Rattus	7:20343142-20343144
7	20355199	20355201	chr11:129894919-129894921	Rattus	7:20355199-20355201
7	20363390	20363392	chr11:129894919-129894921	Rattus	7:20363390-20363392
7	23127059	23127061	chr11:129894919-129894921	Rattus	7:23127059-23127061
7	23130743	23130745	chr11:129894919-129894921	Rattus	7:23130743-23130745
8	32420625	32420627	chr11:129894919-129894921	Rattus	8:32420625-32420627
12	43031296	43031298	chr12:113357441-113357443	Rattus	12:43031296-43031298
12	43044194	43044196	chr12:113357441-113357443	Rattus	12:43044194-43044196
12	43077021	43077023	chr12:113357441-113357443	Rattus	12:43077021-43077023
12	43090270	43090272	chr12:113357441-113357443	Rattus	12:43090270-43090272
12	43117704	43117706	chr12:113357441-113357443	Rattus	12:43117704-43117706
12	43149169	43149171	chr12:113357441-113357443	Rattus	12:43149169-43149171
12	44204305	44204307	chr12:113357441-113357443	Rattus	12:44204305-44204307
12	44216897	44216899	chr12:113357441-113357443	Rattus	12:44216897-44216899
1	218174986	218174988	chr14:28735075-28735077	Rattus	1:218174986-218174988
11	29738254	29738256	chr14:28735075-28735077	Rattus	11:29738254-29738256
2	201740700	201740702	chr14:28735075-28735077	Rattus	2:201740700-201740702
8	103161473	103161475	chr14:28735075-28735077	Rattus	8:103161473-103161475
9	9096965	9096967	chr14:28735075-28735077	Rattus	9:9096965-9096967
9	53284671	53284673	chr14:28735075-28735077	Rattus	9:53284671-53284673
9	69855599	69855601	chr14:28735075-28735077	Rattus	9:69855599-69855601
10	91938855	91938856	chr17:43846667-43846669	Rattus	10:91938855-91938856
10	91939254	91939255	chr17:43846667-43846669	Rattus	10:91939254-91939255
10	91992273	91992274	chr17:43910261-43910263	Rattus	10:91992273-91992274
10	91992275	91992276	chr17:43910261-43910263	Rattus	10:91992275-91992276
10	92136881	92136882	chr17:44089562-44089564	Rattus	10:92136881-92136882
10	92136883	92136884	chr17:44089562-44089564	Rattus	10:92136883-92136884
18	16590587	16590589	chr18:35156536-35156538	Rattus	18:16590587-16590589
18	17841334	17841336	chr18:35156536-35156538	Rattus	18:17841334-17841336
12	5238318	5238319	chr2:126473491-126473493	Rattus	12:5238318-5238319
13	13500923	13500924	chr2:126473491-126473493	Rattus	13:13500923-13500924
4	3886473	3886474	chr2:126473491-126473493	Rattus	4:3886473-3886474
4	3888934	3888935	chr2:126473491-126473493	Rattus	4:3888934-3888935
8	56236	56237	chr2:126473491-126473493	Rattus	8:56236-56237
8	118675139	118675141	chr3:46436955-46436957	Rattus	8:118675139-118675141
8	132390535	132390537	chr3:46436955-46436957	Rattus	8:132390535-132390537
chr2	15947337	15947339	chr1:65591574-65591576	bosTau8	chr2:15947337-15947339
chr2	19700489	19700491	chr1:65591574-65591576	bosTau8	chr2:19700489-19700491
chr3	80610035	80610037	chr1:65591574-65591576	bosTau8	chr3:80610035-80610037
chr7	89653758	89653760	chr1:65591574-65591576	bosTau8	chr7:89653758-89653760
chr24	41843643	41843645	chr14:28735075-28735077	bosTau8	chr24:41843643-41843645
chr26	51353141	51353143	chr14:28735075-28735077	bosTau8	chr26:51353141-51353143
chr19	46336928	46336930	chr17:43773942-43773944	bosTau8	chr19:46336928-46336930
chr19	46348421	46348423	chr17:43773942-43773944	bosTau8	chr19:46348421-46348423
chr19	46471553	46471554	chr17:43898886-43898888	bosTau8	chr19:46471553-46471554
chr19	46471555	46471556	chr17:43898886-43898888	bosTau8	chr19:46471555-46471556
chr19	46481848	46481849	chr17:43910261-43910263	bosTau8	chr19:46481848-46481849
chr19	46481850	46481851	chr17:43910261-43910263	bosTau8	chr19:46481850-46481851
chr19	46565671	46565672	chr17:44012988-44012990	bosTau8	chr19:46565671-46565672
chr19	46565683	46565684	chr17:44012988-44012990	bosTau8	chr19:46565683-46565684
chr19	46635136	46635137	chr17:44089562-44089564	bosTau8	chr19:46635136-46635137
chr19	46635138	46635139	chr17:44089562-44089564	bosTau8	chr19:46635138-46635139
chr22	53828814	53828816	chr3:46247095-46247097	bosTau8	chr22:53828814-53828816
chr22	53854432	53854434	chr3:46247095-46247097	bosTau8	chr22:53854432-53854434
chr22	53812424	53812426	chr3:46253978-46253980	bosTau8	chr22:53812424-53812426
chr22	53851055	53851057	chr3:46253978-46253980	bosTau8	chr22:53851055-53851057
chr22	53787654	53787655	chr3:46262722-46262724	bosTau8	chr22:53787654-53787655
chr22	53787652	53787653	chr3:46262722-46262724	bosTau8	chr22:53787652-53787653
chr23	27614167	27614169	chr3:46353198-46353200	bosTau8	chr23:27614167-27614169
chr25	19861309	19861311	chr3:46353198-46353200	bosTau8	chr25:19861309-19861311
chr9	18474121	18474123	chr3:46353198-46353200	bosTau8	chr9:18474121-18474123
chr14	29015715	29015717	chr8:63408371-63408373	bosTau8	chr14:29015715-29015717
chr14	29342529	29342531	chr8:63408371-63408373	bosTau8	chr14:29342529-29342531
chr1	87486881	87486883	chr1:65591574-65591576	canFam3	chr1:87486881-87486883
chr36	20980209	20980211	chr1:65591574-65591576	canFam3	chr36:20980209-20980211
chr36	30586885	30586887	chr1:65591574-65591576	canFam3	chr36:30586885-30586887
chr4	32515253	32515255	chr1:65591574-65591576	canFam3	chr4:32515253-32515255
chr5	45138327	45138328	chr1:65591574-65591576	canFam3	chr5:45138327-45138328
chr25	14523713	14523715	chr14:28735075-28735077	canFam3	chr25:14523713-14523715
chr28	40037989	40037991	chr14:28735075-28735077	canFam3	chr28:40037989-40037991
chr7	75139825	75139827	chr14:28735075-28735077	canFam3	chr7:75139825-75139827
chr9	9862281	9862282	chr17:43750136-43750138	canFam3	chr9:9862281-9862282
chr9	9862278	9862279	chr17:43750136-43750138	canFam3	chr9:9862278-9862279
chr9	9716121	9716122	chr17:43910261-43910263	canFam3	chr9:9716121-9716122
chr9	9716119	9716120	chr17:43910261-43910263	canFam3	chr9:9716119-9716120
chr9	9636896	9636897	chr17:44012988-44012990	canFam3	chr9:9636896-9636897
chr9	9636875	9636876	chr17:44012988-44012990	canFam3	chr9:9636875-9636876
chr9	9579543	9579544	chr17:44089562-44089564	canFam3	chr9:9579543-9579544
chr9	9579541	9579542	chr17:44089562-44089564	canFam3	chr9:9579541-9579542
chr9	9531261	9531262	chr17:44150151-44150153	canFam3	chr9:9531261-9531262
chr9	9531048	9531049	chr17:44150151-44150153	canFam3	chr9:9531048-9531049
chr9	9469645	9469646	chr17:44217111-44217113	canFam3	chr9:9469645-9469646
chr9	9469637	9469638	chr17:44217111-44217113	canFam3	chr9:9469637-9469638
chr36	22982427	22982428	chr2:180394562-180394564	canFam3	chr36:22982427-22982428
chr36	22982429	22982430	chr2:180394562-180394564	canFam3	chr36:22982429-22982430
chr31	27862745	27862747	chr21:34603879-34603881	canFam3	chr31:27862745-27862747
chr31	28761932	28761934	chr21:34603879-34603881	canFam3	chr31:28761932-28761934
chr31	27868164	27868166	chr21:34609943-34609945	canFam3	chr31:27868164-27868166
chr31	28767350	28767352	chr21:34609943-34609945	canFam3	chr31:28767350-28767352
chr31	27869461	27869463	chr21:34614254-34614256	canFam3	chr31:27869461-27869463
chr31	28768647	28768649	chr21:34614254-34614256	canFam3	chr31:28768647-28768649
chr31	27873243	27873245	chr21:34618284-34618286	canFam3	chr31:27873243-27873245
chr31	28772429	28772431	chr21:34618284-34618286	canFam3	chr31:28772429-28772431
chr31	27880068	27880070	chr21:34624916-34624918	canFam3	chr31:27880068-27880070
chr31	28779254	28779256	chr21:34624916-34624918	canFam3	chr31:28779254-28779256
chr20	40787225	40787227	chr3:46033818-46033820	canFam3	chr20:40787225-40787227
chr20	42523700	42523702	chr3:46033818-46033820	canFam3	chr20:42523700-42523702
