chr	start	end	species_loc	score	strand	species	hg19_loc	hg19_loc_original
chr17_ctg5_hap1	1151660	1151662	chr5:38430062-38430064	0	.	gorGor3	chr17_ctg5_hap1:1151660-1151662	chr17:43715618-43715620
chr17	43715618	43715620	chr5:38430812-38430814	0	.	gorGor3	chr17:43715618-43715620	chr17:43715618-43715620
chr17	43716435	43716437	chr5:38430812-38430814	0	.	gorGor3	chr17:43716435-43716437	chr17:43715618-43715620
chr17_ctg5_hap1	1150875	1150877	chr5:38430812-38430814	0	.	gorGor3	chr17_ctg5_hap1:1150875-1150877	chr17:43715618-43715620
chr17_ctg5_hap1	1151660	1151662	chr5:38430812-38430814	0	.	gorGor3	chr17_ctg5_hap1:1151660-1151662	chr17:43715618-43715620
chr17	43721456	43721458	chr5:38426869-38426871	0	.	gorGor3	chr17:43721456-43721458	chr17:43721456-43721458
chr17	43722267	43722269	chr5:38426869-38426871	0	.	gorGor3	chr17:43722267-43722269	chr17:43721456-43721458
chr17_ctg5_hap1	1145051	1145053	chr5:38426869-38426871	0	.	gorGor3	chr17_ctg5_hap1:1145051-1145053	chr17:43721456-43721458
chr17_ctg5_hap1	1145854	1145856	chr5:38426869-38426871	0	.	gorGor3	chr17_ctg5_hap1:1145854-1145856	chr17:43721456-43721458
chr17	43721456	43721458	chr5:38427656-38427658	0	.	gorGor3	chr17:43721456-43721458	chr17:43721456-43721458
chr17	43722267	43722269	chr5:38427656-38427658	0	.	gorGor3	chr17:43722267-43722269	chr17:43721456-43721458
chr17_ctg5_hap1	1145051	1145053	chr5:38427656-38427658	0	.	gorGor3	chr17_ctg5_hap1:1145051-1145053	chr17:43721456-43721458
chr17_ctg5_hap1	1145854	1145856	chr5:38427656-38427658	0	.	gorGor3	chr17_ctg5_hap1:1145854-1145856	chr17:43721456-43721458
chr17	43825710	43825712	chr5:38313778-38313780	0	.	gorGor3	chr17:43825710-43825712	chr17:43825710-43825712
chr17_ctg5_hap1	1041760	1041762	chr5:38313778-38313780	0	.	gorGor3	chr17_ctg5_hap1:1041760-1041762	chr17:43825710-43825712
chr17	43825710	43825712	chr5:38318287-38318289	0	.	gorGor3	chr17:43825710-43825712	chr17:43825710-43825712
chr17_ctg5_hap1	1041760	1041762	chr5:38318287-38318289	0	.	gorGor3	chr17_ctg5_hap1:1041760-1041762	chr17:43825710-43825712
chr17	44010983	44010985	chr5:38099191-38099193	0	.	gorGor3	chr17:44010983-44010985	chr17:44010983-44010985
chr17_ctg5_hap1	856697	856699	chr5:38099191-38099193	0	.	gorGor3	chr17_ctg5_hap1:856697-856699	chr17:44010983-44010985
chr17	44010983	44010985	chr5:38127418-38127420	0	.	gorGor3	chr17:44010983-44010985	chr17:44010983-44010985
chr17_ctg5_hap1	856697	856699	chr5:38127418-38127420	0	.	gorGor3	chr17_ctg5_hap1:856697-856699	chr17:44010983-44010985
chr17	44012914	44012916	chr5:38097259-38097261	0	.	gorGor3	chr17:44012914-44012916	chr17:44012914-44012916
chr17_ctg5_hap1	854769	854771	chr5:38097259-38097261	0	.	gorGor3	chr17_ctg5_hap1:854769-854771	chr17:44012914-44012916
chr17	44012914	44012916	chr5:38125485-38125487	0	.	gorGor3	chr17:44012914-44012916	chr17:44012914-44012916
chr17_ctg5_hap1	854769	854771	chr5:38125485-38125487	0	.	gorGor3	chr17_ctg5_hap1:854769-854771	chr17:44012914-44012916
chr17	44014262	44014264	chr5:38095910-38095912	0	.	gorGor3	chr17:44014262-44014264	chr17:44014262-44014264
chr17_ctg5_hap1	853420	853422	chr5:38095910-38095912	0	.	gorGor3	chr17_ctg5_hap1:853420-853422	chr17:44014262-44014264
chr17	44014262	44014264	chr5:38124136-38124138	0	.	gorGor3	chr17:44014262-44014264	chr17:44014262-44014264
chr17_ctg5_hap1	853420	853422	chr5:38124136-38124138	0	.	gorGor3	chr17_ctg5_hap1:853420-853422	chr17:44014262-44014264
chr6	85792945	85792947	chr5:38039965-38039967	0	.	gorGor3	chr6:85792945-85792947	chr17:44093626-44093628
chr17	44093626	44093628	chr5:38039965-38039967	0	.	gorGor3	chr17:44093626-44093628	chr17:44093626-44093628
chr17	44095379	44095381	chr5:38039965-38039967	0	.	gorGor3	chr17:44095379-44095381	chr17:44093626-44093628
chr17_ctg5_hap1	772591	772593	chr5:38039965-38039967	0	.	gorGor3	chr17_ctg5_hap1:772591-772593	chr17:44093626-44093628
chr17_ctg5_hap1	774354	774356	chr5:38039965-38039967	0	.	gorGor3	chr17_ctg5_hap1:774354-774356	chr17:44093626-44093628
chr6	85792945	85792947	chr6:85088074-85088076	0	.	gorGor3	chr6:85792945-85792947	chr17:44093626-44093628
chr17	44093626	44093628	chr6:85088074-85088076	0	.	gorGor3	chr17:44093626-44093628	chr17:44093626-44093628
chr17	44095379	44095381	chr6:85088074-85088076	0	.	gorGor3	chr17:44095379-44095381	chr17:44093626-44093628
chr17_ctg5_hap1	772591	772593	chr6:85088074-85088076	0	.	gorGor3	chr17_ctg5_hap1:772591-772593	chr17:44093626-44093628
chr17_ctg5_hap1	774354	774356	chr6:85088074-85088076	0	.	gorGor3	chr17_ctg5_hap1:774354-774356	chr17:44093626-44093628
chr6	85792945	85792947	chr6:85096372-85096374	0	.	gorGor3	chr6:85792945-85792947	chr17:44093626-44093628
chr17	44093626	44093628	chr6:85096372-85096374	0	.	gorGor3	chr17:44093626-44093628	chr17:44093626-44093628
chr17	44095379	44095381	chr6:85096372-85096374	0	.	gorGor3	chr17:44095379-44095381	chr17:44093626-44093628
chr17_ctg5_hap1	772591	772593	chr6:85096372-85096374	0	.	gorGor3	chr17_ctg5_hap1:772591-772593	chr17:44093626-44093628
chr17_ctg5_hap1	774354	774356	chr6:85096372-85096374	0	.	gorGor3	chr17_ctg5_hap1:774354-774356	chr17:44093626-44093628
chr6	85793032	85793034	chr5:38039879-38039881	0	.	gorGor3	chr6:85793032-85793034	chr17:44095466-44095468
chr17	44093712	44093714	chr5:38039879-38039881	0	.	gorGor3	chr17:44093712-44093714	chr17:44095466-44095468
chr17	44095466	44095468	chr5:38039879-38039881	0	.	gorGor3	chr17:44095466-44095468	chr17:44095466-44095468
chr17_ctg5_hap1	772504	772506	chr5:38039879-38039881	0	.	gorGor3	chr17_ctg5_hap1:772504-772506	chr17:44095466-44095468
chr17_ctg5_hap1	774268	774270	chr5:38039879-38039881	0	.	gorGor3	chr17_ctg5_hap1:774268-774270	chr17:44095466-44095468
chr6	85793032	85793034	chr6:85088161-85088163	0	.	gorGor3	chr6:85793032-85793034	chr17:44095466-44095468
chr17	44093712	44093714	chr6:85088161-85088163	0	.	gorGor3	chr17:44093712-44093714	chr17:44095466-44095468
chr17	44095466	44095468	chr6:85088161-85088163	0	.	gorGor3	chr17:44095466-44095468	chr17:44095466-44095468
chr17_ctg5_hap1	772504	772506	chr6:85088161-85088163	0	.	gorGor3	chr17_ctg5_hap1:772504-772506	chr17:44095466-44095468
chr17_ctg5_hap1	774268	774270	chr6:85088161-85088163	0	.	gorGor3	chr17_ctg5_hap1:774268-774270	chr17:44095466-44095468
chr6	85793032	85793034	chr6:85096480-85096482	0	.	gorGor3	chr6:85793032-85793034	chr17:44095466-44095468
chr17	44093712	44093714	chr6:85096480-85096482	0	.	gorGor3	chr17:44093712-44093714	chr17:44095466-44095468
chr17	44095466	44095468	chr6:85096480-85096482	0	.	gorGor3	chr17:44095466-44095468	chr17:44095466-44095468
chr17_ctg5_hap1	772504	772506	chr6:85096480-85096482	0	.	gorGor3	chr17_ctg5_hap1:772504-772506	chr17:44095466-44095468
chr17_ctg5_hap1	774268	774270	chr6:85096480-85096482	0	.	gorGor3	chr17_ctg5_hap1:774268-774270	chr17:44095466-44095468
chr17	44165802	44165804	chr5:37049606-37049608	0	.	gorGor3	chr17:44165802-44165804	chr17:44165802-44165804
chr17	45151524	45151526	chr5:37049606-37049608	0	.	gorGor3	chr17:45151524-45151526	chr17:44165802-44165804
chr17_ctg5_hap1	699981	699983	chr5:37049606-37049608	0	.	gorGor3	chr17_ctg5_hap1:699981-699983	chr17:44165802-44165804
chr17	44165802	44165804	chr5:37966458-37966460	0	.	gorGor3	chr17:44165802-44165804	chr17:44165802-44165804
chr17	45151524	45151526	chr5:37966458-37966460	0	.	gorGor3	chr17:45151524-45151526	chr17:44165802-44165804
chr17_ctg5_hap1	699981	699983	chr5:37966458-37966460	0	.	gorGor3	chr17_ctg5_hap1:699981-699983	chr17:44165802-44165804
chr17	44170237	44170239	chr5:37043635-37043637	0	.	gorGor3	chr17:44170237-44170239	chr17:44170237-44170239
chr17	45156470	45156472	chr5:37043635-37043637	0	.	gorGor3	chr17:45156470-45156472	chr17:44170237-44170239
chr17_ctg5_hap1	695519	695521	chr5:37043635-37043637	0	.	gorGor3	chr17_ctg5_hap1:695519-695521	chr17:44170237-44170239
chr17	44170237	44170239	chr5:37961979-37961981	0	.	gorGor3	chr17:44170237-44170239	chr17:44170237-44170239
chr17	45156470	45156472	chr5:37961979-37961981	0	.	gorGor3	chr17:45156470-45156472	chr17:44170237-44170239
chr17_ctg5_hap1	695519	695521	chr5:37961979-37961981	0	.	gorGor3	chr17_ctg5_hap1:695519-695521	chr17:44170237-44170239
chr17	44172772	44172774	chr5:37041146-37041148	0	.	gorGor3	chr17:44172772-44172774	chr17:44172772-44172774
chr17	45159015	45159017	chr5:37041146-37041148	0	.	gorGor3	chr17:45159015-45159017	chr17:44172772-44172774
chr17_ctg5_hap1	692986	692988	chr5:37041146-37041148	0	.	gorGor3	chr17_ctg5_hap1:692986-692988	chr17:44172772-44172774
chr17	44172772	44172774	chr5:37959446-37959448	0	.	gorGor3	chr17:44172772-44172774	chr17:44172772-44172774
chr17	45159015	45159017	chr5:37959446-37959448	0	.	gorGor3	chr17:45159015-45159017	chr17:44172772-44172774
chr17_ctg5_hap1	692986	692988	chr5:37959446-37959448	0	.	gorGor3	chr17_ctg5_hap1:692986-692988	chr17:44172772-44172774
chr17	44179991	44179993	chr5:37035964-37035966	0	.	gorGor3	chr17:44179991-44179993	chr17:44179991-44179993
chr17	45164197	45164199	chr5:37035964-37035966	0	.	gorGor3	chr17:45164197-45164199	chr17:44179991-44179993
chr17_ctg5_hap1	686065	686067	chr5:37035964-37035966	0	.	gorGor3	chr17_ctg5_hap1:686065-686067	chr17:44179991-44179993
chr17	44179991	44179993	chr5:37950319-37950321	0	.	gorGor3	chr17:44179991-44179993	chr17:44179991-44179993
chr17	45164197	45164199	chr5:37950319-37950321	0	.	gorGor3	chr17:45164197-45164199	chr17:44179991-44179993
chr17_ctg5_hap1	686065	686067	chr5:37950319-37950321	0	.	gorGor3	chr17_ctg5_hap1:686065-686067	chr17:44179991-44179993
chr17	44220731	44220733	chr5:37907922-37907924	0	.	gorGor3	chr17:44220731-44220733	chr17:44221041-44221043
chr17	44221041	44221043	chr5:37907922-37907924	0	.	gorGor3	chr17:44221041-44221043	chr17:44221041-44221043
chr17_ctg5_hap1	644998	645000	chr5:37907922-37907924	0	.	gorGor3	chr17_ctg5_hap1:644998-645000	chr17:44221041-44221043
chr17_ctg5_hap1	645304	645306	chr5:37907922-37907924	0	.	gorGor3	chr17_ctg5_hap1:645304-645306	chr17:44221041-44221043
chr17_ctg5_hap1	1373532	1373534	chr5:37907922-37907924	0	.	gorGor3	chr17_ctg5_hap1:1373532-1373534	chr17:44221041-44221043
chr17_ctg5_hap1	1373838	1373840	chr5:37907922-37907924	0	.	gorGor3	chr17_ctg5_hap1:1373838-1373840	chr17:44221041-44221043
chr17	44220731	44220733	chr5:37908229-37908231	0	.	gorGor3	chr17:44220731-44220733	chr17:44221041-44221043
chr17	44221041	44221043	chr5:37908229-37908231	0	.	gorGor3	chr17:44221041-44221043	chr17:44221041-44221043
chr17_ctg5_hap1	644998	645000	chr5:37908229-37908231	0	.	gorGor3	chr17_ctg5_hap1:644998-645000	chr17:44221041-44221043
chr17_ctg5_hap1	645304	645306	chr5:37908229-37908231	0	.	gorGor3	chr17_ctg5_hap1:645304-645306	chr17:44221041-44221043
chr17_ctg5_hap1	1373532	1373534	chr5:37908229-37908231	0	.	gorGor3	chr17_ctg5_hap1:1373532-1373534	chr17:44221041-44221043
chr17_ctg5_hap1	1373838	1373840	chr5:37908229-37908231	0	.	gorGor3	chr17_ctg5_hap1:1373838-1373840	chr17:44221041-44221043
chr17	44241303	44241305	chr5:37885144-37885146	0	.	gorGor3	chr17:44241303-44241305	chr17:44241303-44241305
chr17_ctg5_hap1	625049	625051	chr5:37885144-37885146	0	.	gorGor3	chr17_ctg5_hap1:625049-625051	chr17:44241303-44241305
chr17_ctg5_hap1	1353604	1353606	chr5:37885144-37885146	0	.	gorGor3	chr17_ctg5_hap1:1353604-1353606	chr17:44241303-44241305
chr17	44241303	44241305	chr5:37885786-37885788	0	.	gorGor3	chr17:44241303-44241305	chr17:44241303-44241305
chr17_ctg5_hap1	625049	625051	chr5:37885786-37885788	0	.	gorGor3	chr17_ctg5_hap1:625049-625051	chr17:44241303-44241305
chr17_ctg5_hap1	1353604	1353606	chr5:37885786-37885788	0	.	gorGor3	chr17_ctg5_hap1:1353604-1353606	chr17:44241303-44241305
chr17	44286088	44286090	chr5:37024091-37024093	0	.	gorGor3	chr17:44286088-44286090	chr17:44286088-44286090
chr17	45177257	45177259	chr5:37024091-37024093	0	.	gorGor3	chr17:45177257-45177259	chr17:44286088-44286090
chr17_ctg5_hap1	580232	580234	chr5:37024091-37024093	0	.	gorGor3	chr17_ctg5_hap1:580232-580234	chr17:44286088-44286090
chr17_ctg5_hap1	1308828	1308830	chr5:37024091-37024093	0	.	gorGor3	chr17_ctg5_hap1:1308828-1308830	chr17:44286088-44286090
chr17	44286088	44286090	chr5:37840677-37840679	0	.	gorGor3	chr17:44286088-44286090	chr17:44286088-44286090
chr17	45177257	45177259	chr5:37840677-37840679	0	.	gorGor3	chr17:45177257-45177259	chr17:44286088-44286090
chr17_ctg5_hap1	580232	580234	chr5:37840677-37840679	0	.	gorGor3	chr17_ctg5_hap1:580232-580234	chr17:44286088-44286090
chr17_ctg5_hap1	1308828	1308830	chr5:37840677-37840679	0	.	gorGor3	chr17_ctg5_hap1:1308828-1308830	chr17:44286088-44286090
chr17	43697562	43697564	chr5:37023594-37023596	0	.	gorGor3	chr17:43697562-43697564	chr17:44302880-44302882
chr17	44302880	44302882	chr5:37023594-37023596	0	.	gorGor3	chr17:44302880-44302882	chr17:44302880-44302882
chr17	45177798	45177800	chr5:37023594-37023596	0	.	gorGor3	chr17:45177798-45177800	chr17:44302880-44302882
chr17_ctg5_hap1	563355	563357	chr5:37023594-37023596	0	.	gorGor3	chr17_ctg5_hap1:563355-563357	chr17:44302880-44302882
chr17_ctg5_hap1	1170598	1170600	chr5:37023594-37023596	0	.	gorGor3	chr17_ctg5_hap1:1170598-1170600	chr17:44302880-44302882
chr17	43697562	43697564	chr5:37824152-37824154	0	.	gorGor3	chr17:43697562-43697564	chr17:44302880-44302882
chr17	44302880	44302882	chr5:37824152-37824154	0	.	gorGor3	chr17:44302880-44302882	chr17:44302880-44302882
chr17	45177798	45177800	chr5:37824152-37824154	0	.	gorGor3	chr17:45177798-45177800	chr17:44302880-44302882
chr17_ctg5_hap1	563355	563357	chr5:37824152-37824154	0	.	gorGor3	chr17_ctg5_hap1:563355-563357	chr17:44302880-44302882
chr17_ctg5_hap1	1170598	1170600	chr5:37824152-37824154	0	.	gorGor3	chr17_ctg5_hap1:1170598-1170600	chr17:44302880-44302882
chr17	44351284	44351286	chr5:15563704-15563706	0	.	gorGor3	chr17:44351284-44351286	chr17:44351284-44351286
chr17	65979538	65979540	chr5:15563704-15563706	0	.	gorGor3	chr17:65979538-65979540	chr17:44351284-44351286
chr17_ctg5_hap1	514683	514685	chr5:15563704-15563706	0	.	gorGor3	chr17_ctg5_hap1:514683-514685	chr17:44351284-44351286
chr17_ctg5_hap1	1218290	1218292	chr5:15563704-15563706	0	.	gorGor3	chr17_ctg5_hap1:1218290-1218292	chr17:44351284-44351286
chr17_ctg5_hap1	1256092	1256094	chr5:15563704-15563706	0	.	gorGor3	chr17_ctg5_hap1:1256092-1256094	chr17:44351284-44351286
chr17	44351284	44351286	chr5:37774759-37774761	0	.	gorGor3	chr17:44351284-44351286	chr17:44351284-44351286
chr17	65979538	65979540	chr5:37774759-37774761	0	.	gorGor3	chr17:65979538-65979540	chr17:44351284-44351286
chr17_ctg5_hap1	514683	514685	chr5:37774759-37774761	0	.	gorGor3	chr17_ctg5_hap1:514683-514685	chr17:44351284-44351286
chr17_ctg5_hap1	1218290	1218292	chr5:37774759-37774761	0	.	gorGor3	chr17_ctg5_hap1:1218290-1218292	chr17:44351284-44351286
chr17_ctg5_hap1	1256092	1256094	chr5:37774759-37774761	0	.	gorGor3	chr17_ctg5_hap1:1256092-1256094	chr17:44351284-44351286
chr3	45930795	45930796	chr3:47107179-47107180	0	.	gorGor3	chr3:45930795-45930796	chr3:45930795-45930797
chr3	45930796	45930797	chr3:47107184-47107185	0	.	gorGor3	chr3:45930796-45930797	chr3:45930795-45930797
chr3	45949752	45949754	chr3:47086053-47086055	0	.	gorGor3	chr3:45949752-45949754	chr3:45949752-45949754
chr3	45949752	45949754	chr3:47134802-47134804	0	.	gorGor3	chr3:45949752-45949754	chr3:45949752-45949754
chr3	46154271	46154273	chr3:47335688-47335690	0	.	gorGor3	chr3:46154271-46154273	chr3:46154271-46154273
chr3	46154271	46154273	chr3:47346567-47346569	0	.	gorGor3	chr3:46154271-46154273	chr3:46154271-46154273
chr3	46573674	46573676	CABD02437416:661-663	0	.	gorGor3	chr3:46573674-46573676	chr3:46573674-46573676
chr3	46573674	46573676	chr3:47763602-47763604	0	.	gorGor3	chr3:46573674-46573676	chr3:46573674-46573676
chr3	101434448	101434450	chr3:100737949-100737951	0	.	gorGor3	chr3:101434448-101434450	chr3:101434448-101434450
chr3	101434448	101434450	chr3:100742149-100742151	0	.	gorGor3	chr3:101434448-101434450	chr3:101434448-101434450
chr3	197122813	197122815	chr3:199067466-199067468	0	.	gorGor3	chr3:197122813-197122815	chr3:197122813-197122815
chr3	197123228	197123230	chr3:199067466-199067468	0	.	gorGor3	chr3:197123228-197123230	chr3:197122813-197122815
chr3	197122813	197122815	chr3:199067894-199067896	0	.	gorGor3	chr3:197122813-197122815	chr3:197122813-197122815
chr3	197123228	197123230	chr3:199067894-199067896	0	.	gorGor3	chr3:197123228-197123230	chr3:197122813-197122815
chr3	120214435	120214437	chr3:120100474-120100476	0	.	gorGor3	chr3:120214435-120214437	chr9:136154866-136154868
chr9	136154866	136154868	chr3:120100474-120100476	0	.	gorGor3	chr9:136154866-136154868	chr9:136154866-136154868
chr3	120214435	120214437	chr9:116901214-116901216	0	.	gorGor3	chr3:120214435-120214437	chr9:136154866-136154868
chr9	136154866	136154868	chr9:116901214-116901216	0	.	gorGor3	chr9:136154866-136154868	chr9:136154866-136154868
chr9	136103807	136103809	chr9:116843138-116843140	0	.	gorGor3	chr9:136103807-136103809	chr9:136184797-136184799
chr9	136184797	136184799	chr9:116843138-116843140	0	.	gorGor3	chr9:136184797-136184799	chr9:136184797-136184799
chr9	138413509	138413511	chr9:116843138-116843140	0	.	gorGor3	chr9:138413509-138413511	chr9:136184797-136184799
chr9	136103807	136103809	chr9:116930773-116930775	0	.	gorGor3	chr9:136103807-136103809	chr9:136184797-136184799
chr9	136184797	136184799	chr9:116930773-116930775	0	.	gorGor3	chr9:136184797-136184799	chr9:136184797-136184799
chr9	138413509	138413511	chr9:116930773-116930775	0	.	gorGor3	chr9:138413509-138413511	chr9:136184797-136184799
chr9	136103807	136103809	chr9:119182889-119182891	0	.	gorGor3	chr9:136103807-136103809	chr9:136184797-136184799
chr9	136184797	136184799	chr9:119182889-119182891	0	.	gorGor3	chr9:136184797-136184799	chr9:136184797-136184799
chr9	138413509	138413511	chr9:119182889-119182891	0	.	gorGor3	chr9:138413509-138413511	chr9:136184797-136184799
chr1	151341569	151341571	chr1:130272126-130272128	0	.	gorGor3	chr1:151341569-151341571	chr1:151341569-151341571
chr1	151341569	151341571	chr1:130288442-130288444	0	.	gorGor3	chr1:151341569-151341571	chr1:151341569-151341571
chr1	230449942	230449944	chr1:210488039-210488041	0	.	gorGor3	chr1:230449942-230449944	chr1:230449942-230449944
chr1	230449942	230449944	chr1:210489398-210489400	0	.	gorGor3	chr1:230449942-230449944	chr1:230449942-230449944
chr11	49791475	49791477	chr11:50497277-50497279	0	.	gorGor3	chr11:49791475-49791477	chr11:88592243-88592245
chr11	88592243	88592245	chr11:50497277-50497279	0	.	gorGor3	chr11:88592243-88592245	chr11:88592243-88592245
chr11	49791475	49791477	chr11:86168099-86168101	0	.	gorGor3	chr11:49791475-49791477	chr11:88592243-88592245
chr11	88592243	88592245	chr11:86168099-86168101	0	.	gorGor3	chr11:88592243-88592245	chr11:88592243-88592245
chr17	43519759	43519761	chr5:38629977-38629979	0	.	gorGor3	chr17:43519759-43519761	chr17:43519759-43519761
chr17	62785383	62785385	chr5:38629977-38629979	0	.	gorGor3	chr17:62785383-62785385	chr17:43519759-43519761
chr17_ctg5_hap1	134821	134823	chr5:38629977-38629979	0	.	gorGor3	chr17_ctg5_hap1:134821-134823	chr17:43519759-43519761
chr17	43519759	43519761	chr5:38630500-38630502	0	.	gorGor3	chr17:43519759-43519761	chr17:43519759-43519761
chr17	62785383	62785385	chr5:38630500-38630502	0	.	gorGor3	chr17:62785383-62785385	chr17:43519759-43519761
chr17_ctg5_hap1	134821	134823	chr5:38630500-38630502	0	.	gorGor3	chr17_ctg5_hap1:134821-134823	chr17:43519759-43519761
chr17	43825724	43825726	chr5:38313764-38313766	0	.	gorGor3	chr17:43825724-43825726	chr17:43825724-43825726
chr17_ctg5_hap1	1041746	1041748	chr5:38313764-38313766	0	.	gorGor3	chr17_ctg5_hap1:1041746-1041748	chr17:43825724-43825726
chr17	43825724	43825726	chr5:38318301-38318303	0	.	gorGor3	chr17:43825724-43825726	chr17:43825724-43825726
chr17_ctg5_hap1	1041746	1041748	chr5:38318301-38318303	0	.	gorGor3	chr17_ctg5_hap1:1041746-1041748	chr17:43825724-43825726
chr17	44011017	44011019	chr5:38099157-38099159	0	.	gorGor3	chr17:44011017-44011019	chr17:44011017-44011019
chr17_ctg5_hap1	856663	856665	chr5:38099157-38099159	0	.	gorGor3	chr17_ctg5_hap1:856663-856665	chr17:44011017-44011019
chr17	44011017	44011019	chr5:38127384-38127386	0	.	gorGor3	chr17:44011017-44011019	chr17:44011017-44011019
chr17_ctg5_hap1	856663	856665	chr5:38127384-38127386	0	.	gorGor3	chr17_ctg5_hap1:856663-856665	chr17:44011017-44011019
chr17	44012988	44012990	chr5:38097185-38097187	0	.	gorGor3	chr17:44012988-44012990	chr17:44012988-44012990
chr17_ctg5_hap1	854695	854697	chr5:38097185-38097187	0	.	gorGor3	chr17_ctg5_hap1:854695-854697	chr17:44012988-44012990
chr17	44012988	44012990	chr5:38125411-38125413	0	.	gorGor3	chr17:44012988-44012990	chr17:44012988-44012990
chr17_ctg5_hap1	854695	854697	chr5:38125411-38125413	0	.	gorGor3	chr17_ctg5_hap1:854695-854697	chr17:44012988-44012990
chr17	44014383	44014385	chr5:38095789-38095791	0	.	gorGor3	chr17:44014383-44014385	chr17:44014383-44014385
chr17_ctg5_hap1	853299	853301	chr5:38095789-38095791	0	.	gorGor3	chr17_ctg5_hap1:853299-853301	chr17:44014383-44014385
chr17	44014383	44014385	chr5:38124015-38124017	0	.	gorGor3	chr17:44014383-44014385	chr17:44014383-44014385
chr17_ctg5_hap1	853299	853301	chr5:38124015-38124017	0	.	gorGor3	chr17_ctg5_hap1:853299-853301	chr17:44014383-44014385
chr6	85793141	85793143	chr6:85088265-85088267	0	.	gorGor3	chr6:85793141-85793143	chr17:44095569-44095571
chr17	44095569	44095571	chr6:85088265-85088267	0	.	gorGor3	chr17:44095569-44095571	chr17:44095569-44095571
chr17_ctg5_hap1	772401	772403	chr6:85088265-85088267	0	.	gorGor3	chr17_ctg5_hap1:772401-772403	chr17:44095569-44095571
chr6	85793141	85793143	chr6:85096584-85096586	0	.	gorGor3	chr6:85793141-85793143	chr17:44095569-44095571
chr17	44095569	44095571	chr6:85096584-85096586	0	.	gorGor3	chr17:44095569-44095571	chr17:44095569-44095571
chr17_ctg5_hap1	772401	772403	chr6:85096584-85096586	0	.	gorGor3	chr17_ctg5_hap1:772401-772403	chr17:44095569-44095571
chr17	44165851	44165853	chr5:37049557-37049559	0	.	gorGor3	chr17:44165851-44165853	chr17:44165851-44165853
chr17	45151573	45151575	chr5:37049557-37049559	0	.	gorGor3	chr17:45151573-45151575	chr17:44165851-44165853
chr17_ctg5_hap1	699932	699934	chr5:37049557-37049559	0	.	gorGor3	chr17_ctg5_hap1:699932-699934	chr17:44165851-44165853
chr17	44165851	44165853	chr5:37966409-37966411	0	.	gorGor3	chr17:44165851-44165853	chr17:44165851-44165853
chr17	45151573	45151575	chr5:37966409-37966411	0	.	gorGor3	chr17:45151573-45151575	chr17:44165851-44165853
chr17_ctg5_hap1	699932	699934	chr5:37966409-37966411	0	.	gorGor3	chr17_ctg5_hap1:699932-699934	chr17:44165851-44165853
chr17	44170413	44170415	chr5:37043457-37043459	0	.	gorGor3	chr17:44170413-44170415	chr17:44170413-44170415
chr17	45156648	45156650	chr5:37043457-37043459	0	.	gorGor3	chr17:45156648-45156650	chr17:44170413-44170415
chr17_ctg5_hap1	695343	695345	chr5:37043457-37043459	0	.	gorGor3	chr17_ctg5_hap1:695343-695345	chr17:44170413-44170415
chr17	44170413	44170415	chr5:37961803-37961805	0	.	gorGor3	chr17:44170413-44170415	chr17:44170413-44170415
chr17	45156648	45156650	chr5:37961803-37961805	0	.	gorGor3	chr17:45156648-45156650	chr17:44170413-44170415
chr17_ctg5_hap1	695343	695345	chr5:37961803-37961805	0	.	gorGor3	chr17_ctg5_hap1:695343-695345	chr17:44170413-44170415
chr17	44173178	44173180	chr5:37040743-37040745	0	.	gorGor3	chr17:44173178-44173180	chr17:44173178-44173180
chr17	45159418	45159420	chr5:37040743-37040745	0	.	gorGor3	chr17:45159418-45159420	chr17:44173178-44173180
chr17_ctg5_hap1	692580	692582	chr5:37040743-37040745	0	.	gorGor3	chr17_ctg5_hap1:692580-692582	chr17:44173178-44173180
chr17	44173178	44173180	chr5:37959040-37959042	0	.	gorGor3	chr17:44173178-44173180	chr17:44173178-44173180
chr17	45159418	45159420	chr5:37959040-37959042	0	.	gorGor3	chr17:45159418-45159420	chr17:44173178-44173180
chr17_ctg5_hap1	692580	692582	chr5:37959040-37959042	0	.	gorGor3	chr17_ctg5_hap1:692580-692582	chr17:44173178-44173180
chr17	44180172	44180174	chr5:37035782-37035784	0	.	gorGor3	chr17:44180172-44180174	chr17:44180172-44180174
chr17	45164380	45164382	chr5:37035782-37035784	0	.	gorGor3	chr17:45164380-45164382	chr17:44180172-44180174
chr17_ctg5_hap1	685884	685886	chr5:37035782-37035784	0	.	gorGor3	chr17_ctg5_hap1:685884-685886	chr17:44180172-44180174
chr17	44180172	44180174	chr5:37950138-37950140	0	.	gorGor3	chr17:44180172-44180174	chr17:44180172-44180174
chr17	45164380	45164382	chr5:37950138-37950140	0	.	gorGor3	chr17:45164380-45164382	chr17:44180172-44180174
chr17_ctg5_hap1	685884	685886	chr5:37950138-37950140	0	.	gorGor3	chr17_ctg5_hap1:685884-685886	chr17:44180172-44180174
chr17	44182335	44182337	chr3:59145980-59145982	0	.	gorGor3	chr17:44182335-44182337	chr17:44182335-44182337
chr17	45166561	45166563	chr3:59145980-59145982	0	.	gorGor3	chr17:45166561-45166563	chr17:44182335-44182337
chr17_ctg5_hap1	683721	683723	chr3:59145980-59145982	0	.	gorGor3	chr17_ctg5_hap1:683721-683723	chr17:44182335-44182337
